iter	Passed	Remaining
415	2696	3785
416	2703	3779
417	2709	3772
418	2716	3766
419	2722	3760
420	2728	3752
421	2734	3745
422	2740	3738
423	2746	3731
424	2752	3723
425	2758	3716
426	2764	3710
427	2770	3703
428	2777	3696
429	2782	3688
430	2788	3681
431	2794	3674
432	2800	3667
433	2806	3660
434	2813	3653
435	2820	3647
436	2826	3641
437	2833	3636
438	2840	3630
439	2847	3624
440	2854	3617
441	2859	3610
442	2866	3603
443	2873	3597
444	2879	3591
445	2886	3585
446	2893	3580
447	2901	3574
448	2907	3568
449	2914	3561
450	2927	3563
451	2946	3572
452	2962	3577
453	2977	3580
454	2993	3585
455	3008	3589
456	3024	3593
457	3031	3587
458	3038	3581
459	3045	3574
460	3052	3568
461	3068	3573
462	3075	3567
463	3082	3561
464	3090	3555
465	3096	3548
466	3103	3542
467	3110	3535
468	3116	3528
469	3123	3521
470	3129	3514
471	3136	3508
472	3141	3500
473	3147	3493
474	3153	3485
475	3159	3477
476	3164	3470
477	3170	3462
478	3176	3455
479	3182	3447
480	3188	3440
481	3194	3432
482	3199	3425
483	3206	3418
484	3212	3411
485	3218	3403
486	3224	3396
487	3230	3389
488	3235	3381
489	3242	3374
490	3248	3367
491	3254	3359
492	3260	3352
493	3265	3345
494	3271	3337
495	3278	3331
496	3284	3324
497	3291	3317
498	3296	3310
499	3302	3302
500	3309	3296
501	3315	3289
502	3322	3283
503	3329	3276
504	3335	3269
505	3342	3263
506	3349	3256
507	3355	3250
508	3361	3243
509	3367	3235
510	3374	3228
511	3380	3221
512	3385	3214
513	3391	3207
514	3397	3199
515	3404	3193
516	3410	3186
517	3416	3178
518	3422	3171
519	3428	3164
520	3434	3157
521	3440	3150
522	3446	3143
523	3452	3136
524	3458	3128
525	3464	3121
526	3470	3115
527	3477	3108
528	3482	3100
529	3488	3093
530	3494	3086
531	3500	3079
532	3506	3072
533	3512	3065
534	3519	3058
535	3525	3052
536	3532	3045
537	3539	3039
538	3546	3032
539	3553	3026
540	3558	3019
541	3564	3012
542	3570	3004
543	3576	2997
544	3582	2990
545	3588	2983
546	3594	2976
547	3600	2970
548	3606	2962
549	3612	2955
550	3618	2948
551	3624	2941
552	3630	2934
553	3636	2927
554	3642	2920
555	3648	2913
556	3653	2906
557	3659	2898
558	3665	2891
559	3671	2884
560	3677	2877
561	3683	2870
562	3689	2863
563	3695	2856
564	3701	2849
565	3706	2842
566	3712	2835
567	3718	2828
568	3724	2821
569	3731	2815
570	3738	2809
571	3745	2802
572	3752	2796
573	3758	2789
574	3765	2783
575	3772	2776
576	3779	2770
577	3785	2763
578	3791	2756
579	3797	2750
580	3803	2742
581	3809	2736
582	3815	2729
583	3821	2722
584	3827	2715
585	3834	2708
586	3839	2701
587	3845	2694
588	3851	2687
589	3858	2681
590	3864	2674
591	3870	2667
592	3876	2660
593	3882	2653
594	3888	2646
595	3893	2639
596	3899	2632
597	3905	2625
598	3910	2618
599	3916	2611
600	3924	2605
601	3931	2598
602	3938	2592
603	3945	2586
604	3952	2580
605	3958	2573
606	3965	2567
607	3971	2560
608	3978	2554
609	3985	2548
610	3992	2541
611	3997	2534
612	4004	2528
613	4010	2521
614	4016	2514
615	4024	2508
616	4030	2501
617	4036	2494
618	4042	2488
619	4048	2481
620	4055	2475
621	4061	2468
622	4067	2461
623	4074	2455
624	4080	2448
625	4087	2441
626	4092	2434
