iter	Logloss
0	0.647502463
1	0.6035766892
2	0.5657872572
3	0.5310000559
4	0.4973902935
5	0.4662268394
6	0.4390320255
7	0.4150257925
8	0.3930552122
9	0.3719997813
10	0.3529722225
11	0.3358856265
12	0.3197084462
13	0.3046802573
14	0.291482248
15	0.2800080776
16	0.2676872131
17	0.2569684953
18	0.2474879026
19	0.238792812
20	0.2304043537
21	0.2231699228
22	0.2165438198
23	0.2103094648
24	0.2037755949
25	0.1977332263
26	0.1928476226
27	0.1874619621
28	0.1830919516
29	0.1787676084
30	0.1745783221
31	0.1712209989
32	0.1672568408
33	0.1634431336
34	0.1610712743
35	0.1578520551
36	0.1551063148
37	0.1524813059
38	0.1500434498
39	0.1476560031
40	0.1456444293
41	0.1440434194
42	0.1418929667
43	0.1405004844
44	0.1387291115
45	0.1367685504
46	0.1356342871
47	0.1342158899
48	0.1327420052
49	0.1313342234
50	0.1297974717
51	0.1282999356
52	0.1268215964
53	0.1258600122
54	0.1243837287
55	0.1235054223
56	0.1223356898
57	0.1210464414
58	0.1199311541
59	0.1189535943
60	0.1179336426
61	0.1172213322
62	0.1163873556
63	0.1155029434
64	0.1144698989
65	0.1137810829
66	0.1131564364
67	0.1123673494
68	0.1118212124
69	0.11125103
70	0.1103432324
71	0.1099187383
72	0.1092898468
73	0.1085916045
74	0.1079383478
75	0.1072899627
76	0.1066318903
77	0.1060148499
78	0.10548243
79	0.105011578
80	0.1045101452
81	0.1040366219
82	0.1036596618
83	0.1031047535
84	0.1024632592
85	0.1019864337
86	0.1015592276
87	0.1009335438
88	0.1003351713
89	0.09992098663
90	0.09949390045
91	0.09900383615
92	0.0986087046
93	0.09829939211
94	0.09771565475
95	0.09728508461
96	0.09701428762
97	0.09664090087
98	0.09618197345
99	0.09570210736
100	0.09530275479
101	0.09489337991
102	0.09454722593
103	0.09432326948
104	0.09381593219
105	0.09341451816
106	0.09296626507
107	0.09267622523
108	0.09243294524
109	0.09214172203
110	0.09181927762
111	0.09153398799
112	0.09125731122
113	0.09096923107
114	0.09065997528
115	0.09038430234
116	0.09008870401
117	0.08971673323
118	0.08940501402
119	0.08904220782
